codice_scuola|classi|descrizione_indirizzo
"BOEE83203A"|2|"27 ore settimanali"
"BOEE83204B"|1|"27 ore settimanali"
"BOEE833014"|2|"tempo pieno per 40 ore settimanali"
"BOEE833025"|1|"da 28 a 30 ore settimanali"
"BOEE833025"|2|"tempo pieno per 40 ore settimanali"
"BOEE83401X"|2|"da 28 a 30 ore settimanali"
"BOEE83401X"|2|"tempo pieno per 40 ore settimanali"
"BOEE834021"|2|"tempo pieno per 40 ore settimanali"
"BOEE834032"|1|"da 28 a 30 ore settimanali"
"BOEE83501Q"|2|"da 28 a 30 ore settimanali"
"BOEE83601G"|3|"da 28 a 30 ore settimanali"
"BOEE83601G"|2|"tempo pieno per 40 ore settimanali"
"BOEE83701B"|1|"27 ore settimanali"
"BOEE83702C"|1|"27 ore settimanali"
"BOEE838017"|1|"tempo pieno per 40 ore settimanali"
"BOEE838039"|2|"tempo pieno per 40 ore settimanali"
"BOEE839013"|2|"da 28 a 30 ore settimanali"
"BOEE840017"|3|"tempo pieno per 40 ore settimanali"
"BOEE840039"|1|"da 28 a 30 ore settimanali"
"BOEE84201V"|3|"tempo pieno per 40 ore settimanali"
"BOEE84301P"|2|"da 28 a 30 ore settimanali"
"BOEE84305V"|1|"tempo pieno per 40 ore settimanali"
"BOEE84306X"|2|"da 28 a 30 ore settimanali"
"BOEE843071"|1|"tempo pieno per 40 ore settimanali"
"BOEE843082"|1|"tempo pieno per 40 ore settimanali"
"BOEE84401E"|2|"27 ore settimanali"
"BOEE84402G"|1|"tempo pieno per 40 ore settimanali"
"BOEE84403L"|3|"27 ore settimanali"
"BOEE84501A"|2|"da 28 a 30 ore settimanali"
"BOEE84502B"|1|"tempo pieno per 40 ore settimanali"
"BOEE84503C"|1|"da 28 a 30 ore settimanali"
"BOEE84504D"|1|"tempo pieno per 40 ore settimanali"
"BOEE846016"|2|"da 28 a 30 ore settimanali"
"BOEE846027"|2|"tempo pieno per 40 ore settimanali"
"BOEE847012"|2|"27 ore settimanali"
"BOEE847034"|3|"tempo pieno per 40 ore settimanali"
"BOEE84801T"|1|"da 28 a 30 ore settimanali"
"BOEE84802V"|1|"da 28 a 30 ore settimanali"
"BOEE84901N"|1|"da 28 a 30 ore settimanali"
"BOEE84901N"|1|"tempo pieno per 40 ore settimanali"
"BOEE85001T"|2|"da 28 a 30 ore settimanali"
"BOEE85101N"|3|"tempo pieno per 40 ore settimanali"
"BOEE85201D"|1|"da 28 a 30 ore settimanali"
"BOEE85201D"|2|"tempo pieno per 40 ore settimanali"
"BOEE853019"|1|"da 28 a 30 ore settimanali"
"BOEE853019"|1|"tempo pieno per 40 ore settimanali"
"BOEE85302A"|2|"tempo pieno per 40 ore settimanali"
"BOEE854015"|1|"da 28 a 30 ore settimanali"
"BOEE854015"|1|"tempo pieno per 40 ore settimanali"
"BOEE854026"|2|"tempo pieno per 40 ore settimanali"
"BOEE854037"|2|"tempo pieno per 40 ore settimanali"
"BOEE855011"|2|"da 28 a 30 ore settimanali"
"BOEE855022"|3|"tempo pieno per 40 ore settimanali"
"BOEE85601R"|1|"27 ore settimanali"
"BOEE85601R"|2|"tempo pieno per 40 ore settimanali"
"BOEE85602T"|1|"da 28 a 30 ore settimanali"
"BOEE85701L"|1|"da 28 a 30 ore settimanali"
"BOEE85701L"|1|"tempo pieno per 40 ore settimanali"
"BOEE85801C"|2|"tempo pieno per 40 ore settimanali"
"BOEE859018"|3|"tempo pieno per 40 ore settimanali"
"BOEE86001C"|2|"da 28 a 30 ore settimanali"
"BOEE86001C"|3|"tempo pieno per 40 ore settimanali"
"BOEE86002D"|1|"da 28 a 30 ore settimanali"
"BOEE862014"|1|"da 28 a 30 ore settimanali"
"BOEE862014"|2|"tempo pieno per 40 ore settimanali"
"BOEE862025"|2|"tempo pieno per 40 ore settimanali"
"BOEE86301X"|1|"27 ore settimanali"
"BOEE86301X"|2|"tempo pieno per 40 ore settimanali"
"BOEE863021"|1|"da 28 a 30 ore settimanali"
"BOEE863021"|2|"tempo pieno per 40 ore settimanali"
"BOEE86401Q"|2|"tempo pieno per 40 ore settimanali"
"BOEE86501G"|2|"27 ore settimanali"
"BOEE86601B"|3|"tempo pieno per 40 ore settimanali"
"BOEE86602C"|2|"da 28 a 30 ore settimanali"
"BOEE86603D"|1|"tempo pieno per 40 ore settimanali"
"BOEE867017"|3|"27 ore settimanali"
"BOEE867028"|2|"27 ore settimanali"
"BOEE867039"|3|"tempo pieno per 40 ore settimanali"
"BOEE868013"|4|"27 ore settimanali"
"BOEE868024"|1|"tempo pieno per 40 ore settimanali"
"BOEE868035"|1|"27 ore settimanali"
"BOEE868046"|1|"27 ore settimanali"
"BOEE86901V"|1|"da 28 a 30 ore settimanali"
"BOEE86902X"|1|"tempo pieno per 40 ore settimanali"
"BOEE870013"|2|"tempo pieno per 40 ore settimanali"
"BOEE87101V"|3|"da 28 a 30 ore settimanali"
"BOEE87201P"|3|"tempo pieno per 40 ore settimanali"
"BOEE87202Q"|1|"tempo pieno per 40 ore settimanali"
"BOEE87203R"|2|"tempo pieno per 40 ore settimanali"
"BOEE87301E"|1|"tempo pieno per 40 ore settimanali"
"BOEE87302G"|1|"da 28 a 30 ore settimanali"
"BOEE87302G"|2|"tempo pieno per 40 ore settimanali"
"BOEE87401A"|2|"tempo pieno per 40 ore settimanali"
"BOEE87402B"|1|"da 28 a 30 ore settimanali"
"BOEE87402B"|2|"tempo pieno per 40 ore settimanali"
"BOEE875016"|2|"da 28 a 30 ore settimanali"
"BOEE875027"|2|"tempo pieno per 40 ore settimanali"
"BOEE876012"|1|"da 28 a 30 ore settimanali"
"BOEE876012"|2|"tempo pieno per 40 ore settimanali"
"BOEE87701T"|1|"da 28 a 30 ore settimanali"
"BOEE87701T"|1|"tempo pieno per 40 ore settimanali"
"BOEE87702V"|1|"da 28 a 30 ore settimanali"
"BOEE87702V"|2|"tempo pieno per 40 ore settimanali"
"BOMM34500X"|13|"30 ore settimanali"
"BOMM34500X"|2|"da 31 a 33 ore settimanali"
"BOMM34700G"|12|"30 ore settimanali"
"BOMM34700G"|1|"da 31 a 33 ore settimanali"
"BOMM80501V"|3|"30 ore settimanali"
"BOMM80502X"|5|"30 ore settimanali"
"BOMM80601P"|4|"30 ore settimanali"
"BOMM80602Q"|3|"30 ore settimanali"
"BOMM80701E"|3|"30 ore settimanali"
"BOMM80701E"|1|"da 31 a 33 ore settimanali"
"BOMM80701E"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM80801A"|6|"30 ore settimanali"
"BOMM809016"|1|"30 ore settimanali"
"BOMM809027"|1|"30 ore settimanali"
"BOMM809038"|1|"30 ore settimanali"
"BOMM809049"|1|"30 ore settimanali"
"BOMM81001A"|2|"30 ore settimanali"
"BOMM81002B"|1|"tempo prolungato a 36 ore settimanali"
"BOMM811016"|1|"30 ore settimanali"
"BOMM811027"|1|"30 ore settimanali"
"BOMM811038"|2|"30 ore settimanali"
"BOMM812012"|2|"30 ore settimanali"
"BOMM812012"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM81301T"|4|"30 ore settimanali"
"BOMM81401N"|5|"30 ore settimanali"
"BOMM81501D"|3|"30 ore settimanali"
"BOMM816019"|5|"30 ore settimanali"
"BOMM817015"|4|"30 ore settimanali"
"BOMM818011"|5|"30 ore settimanali"
"BOMM81901R"|3|"30 ore settimanali"
"BOMM81901R"|1|"tempo prolungato a 36 ore settimanali"
"BOMM820011"|5|"30 ore settimanali"
"BOMM82101R"|4|"30 ore settimanali"
"BOMM82201L"|7|"30 ore settimanali"
"BOMM82301C"|1|"30 ore settimanali"
"BOMM824018"|3|"30 ore settimanali"
"BOMM824029"|1|"30 ore settimanali"
"BOMM825014"|3|"30 ore settimanali"
"BOMM825014"|1|"tempo prolungato a 36 ore settimanali"
"BOMM825025"|3|"30 ore settimanali"
"BOMM82601X"|3|"30 ore settimanali"
"BOMM82601X"|1|"tempo prolungato a 36 ore settimanali"
"BOMM82701Q"|3|"30 ore settimanali"
"BOMM82701Q"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM82801G"|5|"30 ore settimanali"
"BOMM82901B"|2|"30 ore settimanali"
"BOMM83001G"|5|"30 ore settimanali"
"BOMM832017"|3|"30 ore settimanali"
"BOMM832028"|1|"30 ore settimanali"
"BOMM833013"|2|"30 ore settimanali"
"BOMM833013"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM83401V"|3|"30 ore settimanali"
"BOMM83402X"|1|"30 ore settimanali"
"BOMM83402X"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM83501P"|2|"30 ore settimanali"
"BOMM83501P"|1|"da 31 a 33 ore settimanali"
"BOMM83601E"|2|"30 ore settimanali"
"BOMM83601E"|2|"tempo prolungato a 36 ore settimanali"
"BOMM83701A"|2|"30 ore settimanali"
"BOMM838016"|3|"tempo prolungato a 36 ore settimanali"
"BOMM839012"|1|"30 ore settimanali"
"BOMM839012"|1|"tempo prolungato a 36 ore settimanali"
"BOMM840016"|3|"30 ore settimanali"
"BOMM84201T"|3|"30 ore settimanali"
"BOMM84301N"|7|"30 ore settimanali"
"BOMM84401D"|3|"30 ore settimanali"
"BOMM84402E"|2|"30 ore settimanali"
"BOMM845019"|2|"30 ore settimanali"
"BOMM846015"|6|"30 ore settimanali"
"BOMM847044"|6|"30 ore settimanali"
"BOMM84801R"|2|"30 ore settimanali"
"BOMM84901L"|2|"30 ore settimanali"
"BOMM85001R"|2|"30 ore settimanali"
"BOMM85001R"|2|"da 31 a 33 ore settimanali"
"BOMM85101L"|6|"30 ore settimanali"
"BOMM85201C"|8|"30 ore settimanali"
"BOMM853018"|2|"30 ore settimanali"
"BOMM853018"|1|"da 31 a 33 ore settimanali"
"BOMM853018"|2|"tempo prolungato a 36 ore settimanali"
"BOMM854014"|1|"30 ore settimanali"
"BOMM854014"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM85501X"|6|"30 ore settimanali"
"BOMM85601Q"|6|"30 ore settimanali"
"BOMM85701G"|4|"30 ore settimanali"
"BOMM85801B"|7|"30 ore settimanali"
"BOMM859017"|3|"30 ore settimanali"
"BOMM859017"|1|"tempo prolungato a 36 ore settimanali"
"BOMM86001B"|6|"30 ore settimanali"
"BOMM862013"|3|"30 ore settimanali"
"BOMM862013"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM86301V"|2|"30 ore settimanali"
"BOMM86301V"|1|"da 31 a 33 ore settimanali"
"BOMM86301V"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM86401P"|6|"30 ore settimanali"
"BOMM86501E"|7|"30 ore settimanali"
"BOMM86601A"|6|"30 ore settimanali"
"BOMM867016"|5|"30 ore settimanali"
"BOMM867016"|1|"tempo prolungato a 36 ore settimanali"
"BOMM868012"|5|"30 ore settimanali"
"BOMM868012"|1|"tempo prolungato a 36 ore settimanali"
"BOMM86901T"|6|"30 ore settimanali"
"BOMM870012"|3|"30 ore settimanali"
"BOMM87101T"|9|"30 ore settimanali"
"BOMM87201N"|3|"30 ore settimanali"
"BOMM87301D"|7|"30 ore settimanali"
"BOMM874019"|4|"30 ore settimanali"
"BOMM874019"|1|"tempo prolungato da 37 a 40 ore settimanali"
"BOMM875015"|3|"30 ore settimanali"
"BOMM875015"|2|"da 31 a 33 ore settimanali"
"BOMM876011"|9|"30 ore settimanali"
"BOMM87701R"|3|"30 ore settimanali"
"BOPC02000A"|2|"CLASSICO EUROPEO/ INTERNAZIONALE"
"BOPC02000A"|6|"SCIENTIFICO EUROPEO/ INTERNAZIONALE"
"BOPC02000A"|4|"CLASSICO"
"BOPC02000A"|3|"LINGUISTICO"
"BOPC030001"|9|"CLASSICO"
"BOPM001016"|2|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOPM001016"|2|"LINGUISTICO"
"BOPM001016"|2|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BOPM002012"|3|"LINGUISTICO"
"BOPM002012"|2|"SCIENZE UMANE"
"BOPM002012"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BOPM030005"|6|"LINGUISTICO"
"BOPM030005"|4|"SCIENZE UMANE"
"BOPM030005"|2|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BOPS002011"|1|"CLASSICO"
"BOPS002011"|3|"SCIENTIFICO"
"BOPS00301R"|1|"CLASSICO"
"BOPS00301R"|2|"SCIENTIFICO"
"BOPS007014"|3|"SCIENTIFICO"
"BOPS007014"|2|"LINGUISTICO"
"BOPS00801X"|2|"SCIENTIFICO"
"BOPS00801X"|2|"LINGUISTICO"
"BOPS00901Q"|1|"V.O. SCIENTIFICO EUROPEO/INTERNAZIONALE"
"BOPS01000V"|14|"SCIENTIFICO"
"BOPS01701P"|2|"SCIENTIFICO"
"BOPS01701P"|2|"LINGUISTICO"
"BOPS01701P"|4|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BOPS02000D"|11|"SCIENTIFICO"
"BOPS02001E"|1|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOPS030004"|2|"SCIENTIFICO"
"BOPS030004"|7|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOPS030004"|4|"LINGUISTICO"
"BOPS04000P"|3|"SCIENTIFICO"
"BOPS04000P"|1|"SCIENZE UMANE"
"BOPS04000P"|3|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BOPS080005"|3|"SCIENTIFICO"
"BOPS080005"|3|"LINGUISTICO"
"BOPS080005"|2|"SCIENZE UMANE"
"BORA004016"|1|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"BORA00601T"|1|"SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE"
"BORA00602V"|2|"SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE"
"BORC003019"|2|"SERVIZI COMMERCIALI"
"BORC00302A"|2|"SERVIZI COMMERCIALI"
"BORC012014"|2|"SERVIZI SOCIO-SANITARI"
"BORC012014"|3|"SERVIZI COMMERCIALI"
"BORC01601B"|3|"SERVIZI COMMERCIALI"
"BORC01651R"|1|"SERVIZI COMMERCIALI"
"BORC02101V"|1|"SERVIZI COMMERCIALI"
"BORC03000L"|9|"SERVIZI COMMERCIALI"
"BORC03000L"|4|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"BORF00101B"|1|"SERVIZI COMMERCIALI"
"BORF01901L"|3|"IeFP-SERVIZI SOCIO-SANITARI"
"BORH022032"|7|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"BORH022043"|12|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"BORI003012"|1|"IeFP-MANUTENZIONE E ASSISTENZA TECNICA"
"BORI009011"|1|"SERVIZI COMMERCIALI"
"BORI009011"|1|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BORI01402D"|3|"MANUTENZIONE E ASSISTENZA TECNICA"
"BORI01901G"|3|"IeFP-MANUTENZIONE E ASSISTENZA TECNICA"
"BORI01901G"|1|"IeFP-ELETTRONICA ED ELETTROTECNICA"
"BORI023017"|4|"IeFP-MANUTENZIONE E ASSISTENZA TECNICA"
"BORI024013"|3|"SERVIZI SOCIO-SANITARI - ODONTOTECNICO"
"BORI024024"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"BORI024035"|3|"SERVIZI COMMERCIALI"
"BOSL01101L"|11|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"BOTA004012"|6|"AGRARIA, AGROALIMENTARE E AGROINDUSTRIA - BIENNIO COMUNE"
"BOTA00601N"|5|"AGRARIA, AGROALIMENTARE E AGROINDUSTRIA - BIENNIO COMUNE"
"BOTD00301L"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD00701X"|3|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD00701X"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTD00701X"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTD00801Q"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD00801Q"|1|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTD00803T"|1|"V.O. TECNICO COMMERCIALE"
"BOTD00901G"|1|"V.O. TECNICO COMMERCIALE"
"BOTD01201B"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD01201B"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTD013017"|3|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD01601P"|3|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD01602Q"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD01701E"|6|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD021016"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD021016"|1|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTD021016"|1|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOTD06000Q"|6|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD06000Q"|3|"TURISMO"
"BOTD080001"|10|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTD080001"|2|"TURISMO"
"BOTD08050A"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"BOTF001017"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTF00301V"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTF014019"|4|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"BOTF014019"|6|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOTF01901C"|3|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"BOTF01901C"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTF01901C"|2|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"BOTF01901C"|1|"GRAFICA E COMUNICAZIONE"
"BOTF01901C"|1|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"BOTF01901C"|1|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTF023014"|3|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"BOTF023014"|3|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTF023014"|5|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"BOTF023014"|1|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"BOTF02401X"|1|"SISTEMA MODA - BIENNIO COMUNE"
"BOTF04000R"|2|"MECCANICA  MECCATRONICA ENERGIA - BIENNIO COMUNE"
"BOTF04000R"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"BOTF04000R"|2|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BOTL01301N"|6|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"BOTN02201X"|2|"TURISMO"
"BREE00101R"|1|"27 ore settimanali"
"BREE00101R"|1|"tempo pieno per 40 ore settimanali"
"BREE00102T"|1|"tempo pieno per 40 ore settimanali"
"BREE00201L"|2|"27 ore settimanali"
"BREE00201L"|1|"tempo pieno per 40 ore settimanali"
"BREE00202N"|1|"27 ore settimanali"
"BREE00301C"|2|"27 ore settimanali"
"BREE00303E"|1|"27 ore settimanali"
"BREE00304G"|1|"tempo pieno per 40 ore settimanali"
"BREE005014"|2|"27 ore settimanali"
"BREE005025"|3|"27 ore settimanali"
"BREE005025"|1|"tempo pieno per 40 ore settimanali"
"BREE00601X"|2|"27 ore settimanali"
"BREE006032"|2|"27 ore settimanali"
"BREE006043"|1|"tempo pieno per 40 ore settimanali"
"BREE00701Q"|1|"27 ore settimanali"
"BREE00701Q"|1|"tempo pieno per 40 ore settimanali"
"BREE00704V"|2|"27 ore settimanali"
"BREE00704V"|2|"tempo pieno per 40 ore settimanali"
"BREE00801G"|3|"tempo pieno per 40 ore settimanali"
"BREE00806R"|2|"tempo pieno per 40 ore settimanali"
"BREE00901B"|2|"27 ore settimanali"
"BREE00901B"|1|"tempo pieno per 40 ore settimanali"
"BREE01001G"|3|"27 ore settimanali"
"BREE01002L"|1|"27 ore settimanali"
"BREE013013"|3|"da 28 a 30 ore settimanali"
"BREE013013"|1|"tempo pieno per 40 ore settimanali"
"BREE01401V"|1|"da 28 a 30 ore settimanali"
"BREE01401V"|1|"tempo pieno per 40 ore settimanali"
"BREE014042"|1|"tempo pieno per 40 ore settimanali"
"BREE01501P"|3|"da 28 a 30 ore settimanali"
"BREE01501P"|1|"tempo pieno per 40 ore settimanali"
"BREE01601E"|2|"da 28 a 30 ore settimanali"
"BREE01601E"|1|"tempo pieno per 40 ore settimanali"
"BREE016101"|1|"tempo pieno per 40 ore settimanali"
"BREE019012"|2|"da 28 a 30 ore settimanali"
"BREE01915N"|1|"da 28 a 30 ore settimanali"
"BREE01916P"|1|"da 28 a 30 ore settimanali"
"BREE021012"|2|"da 28 a 30 ore settimanali"
"BREE021012"|1|"tempo pieno per 40 ore settimanali"
"BREE02201T"|5|"da 28 a 30 ore settimanali"
"BREE022041"|1|"da 28 a 30 ore settimanali"
"BREE02301N"|3|"da 28 a 30 ore settimanali"
"BREE02305T"|3|"da 28 a 30 ore settimanali"
"BREE02403G"|3|"27 ore settimanali"
"BREE02404L"|1|"da 28 a 30 ore settimanali"
"BREE025019"|3|"27 ore settimanali"
"BREE02503B"|1|"27 ore settimanali"
"BREE026015"|5|"27 ore settimanali"
"BREE026037"|1|"27 ore settimanali"
"BREE027011"|1|"27 ore settimanali"
"BREE027011"|1|"tempo pieno per 40 ore settimanali"
"BREE027022"|4|"27 ore settimanali"
"BREE027022"|1|"tempo pieno per 40 ore settimanali"
"BREE02901L"|3|"27 ore settimanali"
"BREE02902N"|3|"27 ore settimanali"
"BREE03101L"|2|"27 ore settimanali"
"BREE03101L"|2|"tempo pieno per 40 ore settimanali"
"BREE03102N"|1|"27 ore settimanali"
"BREE03102N"|1|"tempo pieno per 40 ore settimanali"
"BREE03201C"|1|"da 28 a 30 ore settimanali"
"BREE03201C"|1|"tempo pieno per 40 ore settimanali"
"BREE03202D"|2|"da 28 a 30 ore settimanali"
"BREE03202D"|1|"tempo pieno per 40 ore settimanali"
"BREE03501X"|4|"da 28 a 30 ore settimanali"
"BREE03601Q"|3|"27 ore settimanali"
"BREE03601Q"|1|"tempo pieno per 40 ore settimanali"
"BREE03701G"|1|"da 28 a 30 ore settimanali"
"BREE03702L"|2|"tempo pieno per 40 ore settimanali"
"BREE03801B"|5|"da 28 a 30 ore settimanali"
"BREE03801B"|1|"tempo pieno per 40 ore settimanali"
"BREE04301V"|1|"da 28 a 30 ore settimanali"
"BREE04301V"|1|"tempo pieno per 40 ore settimanali"
"BREE04302X"|1|"da 28 a 30 ore settimanali"
"BREE043031"|1|"da 28 a 30 ore settimanali"
"BREE04601A"|1|"da 28 a 30 ore settimanali"
"BREE04601A"|1|"tempo pieno per 40 ore settimanali"
"BREE04602B"|1|"da 28 a 30 ore settimanali"
"BREE047016"|3|"da 28 a 30 ore settimanali"
"BREE047038"|2|"tempo pieno per 40 ore settimanali"
"BREE04901T"|2|"da 28 a 30 ore settimanali"
"BREE04901T"|1|"tempo pieno per 40 ore settimanali"
"BREE05201N"|3|"27 ore settimanali"
"BREE05301D"|2|"da 28 a 30 ore settimanali"
"BREE05302E"|1|"da 28 a 30 ore settimanali"
"BREE05303G"|1|"da 28 a 30 ore settimanali"
"BREE80001X"|2|"27 ore settimanali"
"BREE80001X"|1|"tempo pieno per 40 ore settimanali"
"BREE80101Q"|3|"da 28 a 30 ore settimanali"
"BREE80201G"|3|"da 28 a 30 ore settimanali"
"BREE80301B"|1|"da 28 a 30 ore settimanali"
"BREE80302C"|1|"da 28 a 30 ore settimanali"
"BREE805013"|1|"da 28 a 30 ore settimanali"
"BREE805013"|1|"tempo pieno per 40 ore settimanali"
"BREE80601V"|1|"27 ore settimanali"
"BREE80701P"|1|"tempo pieno per 40 ore settimanali"
"BREE80801E"|1|"27 ore settimanali"
"BREE80802G"|2|"27 ore settimanali"
"BREE80802G"|1|"tempo pieno per 40 ore settimanali"
"BRMM004006"|7|"30 ore settimanali"
"BRMM020004"|3|"30 ore settimanali"
"BRMM020004"|2|"da 31 a 33 ore settimanali"
"BRMM02200Q"|5|"30 ore settimanali"
"BRMM02200Q"|3|"da 31 a 33 ore settimanali"
"BRMM02900E"|7|"30 ore settimanali"
"BRMM039005"|7|"30 ore settimanali"
"BRMM041005"|6|"30 ore settimanali"
"BRMM041005"|1|"da 31 a 33 ore settimanali"
"BRMM04400L"|3|"30 ore settimanali"
"BRMM04400L"|2|"tempo prolungato a 36 ore settimanali"
"BRMM05300B"|11|"30 ore settimanali"
"BRMM054007"|9|"30 ore settimanali"
"BRMM055003"|2|"30 ore settimanali"
"BRMM055003"|4|"tempo prolungato a 36 ore settimanali"
"BRMM05600V"|3|"30 ore settimanali"
"BRMM05600V"|2|"da 31 a 33 ore settimanali"
"BRMM05600V"|2|"tempo prolungato a 36 ore settimanali"
"BRMM05700P"|7|"30 ore settimanali"
"BRMM05800E"|7|"da 31 a 33 ore settimanali"
"BRMM05900A"|5|"30 ore settimanali"
"BRMM06000E"|7|"30 ore settimanali"
"BRMM06100A"|8|"30 ore settimanali"
"BRMM062006"|6|"30 ore settimanali"
"BRMM063002"|9|"30 ore settimanali"
"BRMM06400T"|3|"30 ore settimanali"
"BRMM06400T"|8|"da 31 a 33 ore settimanali"
"BRMM06500N"|12|"30 ore settimanali"
"BRMM80001V"|4|"30 ore settimanali"
"BRMM80101P"|3|"30 ore settimanali"
"BRMM80201E"|3|"30 ore settimanali"
"BRMM80301A"|2|"30 ore settimanali"
"BRMM805012"|3|"30 ore settimanali"
"BRMM805012"|3|"da 31 a 33 ore settimanali"
"BRMM805012"|1|"tempo prolungato a 36 ore settimanali"
"BRMM80601T"|5|"30 ore settimanali"
"BRMM80601T"|1|"da 31 a 33 ore settimanali"
"BRMM80701N"|5|"30 ore settimanali"
"BRMM80801D"|5|"30 ore settimanali"
"BRPC002011"|4|"CLASSICO"
"BRPC00401L"|3|"CLASSICO"
"BRPC006018"|2|"CLASSICO"
"BRPC006018"|1|"SCIENTIFICO"
"BRPC00801X"|3|"CLASSICO EUROPEO/ INTERNAZIONALE"
"BRPM010003"|3|"LINGUISTICO"
"BRPM010003"|2|"SCIENZE UMANE"
"BRPM010003"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BRPM010025"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BRPM04000V"|2|"SCIENTIFICO -  OPZIONE SCIENZE APPLICATE"
"BRPM04000V"|2|"LINGUISTICO"
"BRPM04000V"|3|"SCIENZE UMANE"
"BRPM04000V"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"BRPS002014"|2|"SCIENTIFICO"
"BRPS00301X"|1|"CLASSICO"
"BRPS00301X"|2|"SCIENTIFICO"
