codscu|area_didattica|immatricolati
"BOTD00801Q"|"ECONOMICO-STATISTICA"|"25"
"BOTD00801Q"|"SCIENTIFICA"|"3.6"
"BOTD00801Q"|"POLITICO-SOCIALE"|"14.3"
"BOTD00801Q"|"GEO-BIOLOGICA"|"3.6"
"BOTD00801Q"|"EDUCAZIONE FISICA"|"3.6"
"BOTD00801Q"|"LETTERARIA"|"3.6"
"BOTD00801Q"|"GIURIDICA"|"17.9"
"BOTD00801Q"|"LINGUISTICA"|"10.7"
"BOTD00901G"|"INGEGNERIA"|"9.1"
"BOTD00901G"|"ECONOMICO-STATISTICA"|"27.3"
"BOTD00901G"|"POLITICO-SOCIALE"|"18.2"
"BOTD00901G"|"LETTERARIA"|"18.2"
"BOTD00901G"|"GIURIDICA"|"9.1"
"BOTD00901G"|"LINGUISTICA"|"9.1"
"BOTD00901G"|"INSEGNAMENTO"|"9.1"
"BOTD01201B"|"INGEGNERIA"|"6.8"
"BOTD01201B"|"ECONOMICO-STATISTICA"|"34.1"
"BOTD01201B"|"SCIENTIFICA"|"9.1"
"BOTD01201B"|"POLITICO-SOCIALE"|"4.5"
"BOTD01201B"|"CHIMICO-FARMACEUTICA"|"4.5"
"BOTD01201B"|"EDUCAZIONE FISICA"|"9.1"
"BOTD01201B"|"GIURIDICA"|"18.2"
"BOTD01201B"|"MEDICA"|"2.3"
"BOTD01201B"|"ARCHITETTURA"|"9.1"
"BOTD01201B"|"AGRARIO"|"2.3"
"BOTD013017"|"INGEGNERIA"|"16.7"
"BOTD013017"|"ECONOMICO-STATISTICA"|"50"
"BOTD013017"|"SCIENTIFICA"|"11.1"
"BOTD013017"|"POLITICO-SOCIALE"|"5.6"
"BOTD013017"|"GIURIDICA"|"16.7"
"BOTD01601P"|"ECONOMICO-STATISTICA"|"14.3"
"BOTD01601P"|"SCIENTIFICA"|"14.3"
"BOTD01601P"|"POLITICO-SOCIALE"|"28.6"
"BOTD01601P"|"EDUCAZIONE FISICA"|"14.3"
"BOTD01601P"|"GIURIDICA"|"28.6"
"BOTD01701E"|"INGEGNERIA"|"4.5"
"BOTD01701E"|"ECONOMICO-STATISTICA"|"56.8"
"BOTD01701E"|"SCIENTIFICA"|"6.8"
"BOTD01701E"|"POLITICO-SOCIALE"|"9.1"
"BOTD01701E"|"EDUCAZIONE FISICA"|"4.5"
"BOTD01701E"|"LETTERARIA"|"2.3"
"BOTD01701E"|"GIURIDICA"|"6.8"
"BOTD01701E"|"LINGUISTICA"|"2.3"
"BOTD01701E"|"AGRARIO"|"2.3"
"BOTD01701E"|"INSEGNAMENTO"|"4.5"
"BOTD021016"|"INGEGNERIA"|"33.3"
"BOTD021016"|"ECONOMICO-STATISTICA"|"14.3"
"BOTD021016"|"SCIENTIFICA"|"4.8"
"BOTD021016"|"POLITICO-SOCIALE"|"4.8"
"BOTD021016"|"GEO-BIOLOGICA"|"9.5"
"BOTD021016"|"CHIMICO-FARMACEUTICA"|"4.8"
"BOTD021016"|"PSICOLOGICA"|"4.8"
"BOTD021016"|"MEDICA"|"14.3"
"BOTD021016"|"INSEGNAMENTO"|"9.5"
"BOTD06000Q"|"INGEGNERIA"|"5.7"
"BOTD06000Q"|"ECONOMICO-STATISTICA"|"47.1"
"BOTD06000Q"|"SCIENTIFICA"|"7.1"
"BOTD06000Q"|"POLITICO-SOCIALE"|"10"
"BOTD06000Q"|"GEO-BIOLOGICA"|"1.4"
"BOTD06000Q"|"CHIMICO-FARMACEUTICA"|"1.4"
"BOTD06000Q"|"LETTERARIA"|"2.9"
"BOTD06000Q"|"GIURIDICA"|"15.7"
"BOTD06000Q"|"LINGUISTICA"|"4.3"
"BOTD06000Q"|"INSEGNAMENTO"|"4.3"
"BOTD080001"|"ECONOMICO-STATISTICA"|"35.6"
"BOTD080001"|"SCIENTIFICA"|"6.8"
"BOTD080001"|"POLITICO-SOCIALE"|"11.9"
"BOTD080001"|"GEO-BIOLOGICA"|"5.1"
"BOTD080001"|"EDUCAZIONE FISICA"|"5.1"
"BOTD080001"|"LETTERARIA"|"5.1"
"BOTD080001"|"GIURIDICA"|"18.6"
"BOTD080001"|"LINGUISTICA"|"6.8"
"BOTD080001"|"MEDICA"|"1.7"
"BOTD080001"|"INSEGNAMENTO"|"3.4"
"BOTF001017"|"INGEGNERIA"|"57.1"
"BOTF001017"|"SCIENTIFICA"|"7.1"
"BOTF001017"|"CHIMICO-FARMACEUTICA"|"21.4"
"BOTF001017"|"EDUCAZIONE FISICA"|"7.1"
"BOTF001017"|"GIURIDICA"|"7.1"
"BOTF00301V"|"INGEGNERIA"|"42.9"
"BOTF00301V"|"ECONOMICO-STATISTICA"|"42.9"
"BOTF00301V"|"GIURIDICA"|"14.3"
"BOTF014019"|"INGEGNERIA"|"41.4"
"BOTF014019"|"ECONOMICO-STATISTICA"|"8"
"BOTF014019"|"SCIENTIFICA"|"2.3"
"BOTF014019"|"POLITICO-SOCIALE"|"2.3"
"BOTF014019"|"GEO-BIOLOGICA"|"8"
"BOTF014019"|"CHIMICO-FARMACEUTICA"|"12.6"
"BOTF014019"|"EDUCAZIONE FISICA"|"4.6"
"BOTF014019"|"LETTERARIA"|"1.1"
"BOTF014019"|"GIURIDICA"|"4.6"
"BOTF014019"|"LINGUISTICA"|"1.1"
"BOTF014019"|"MEDICA"|"10.3"
"BOTF014019"|"ARCHITETTURA"|"1.1"
"BOTF014019"|"AGRARIO"|"1.1"
"BOTF014019"|"INSEGNAMENTO"|"1.1"
"BOTF01901C"|"INGEGNERIA"|"56.1"
"BOTF01901C"|"SCIENTIFICA"|"9.8"
"BOTF01901C"|"CHIMICO-FARMACEUTICA"|"24.4"
"BOTF01901C"|"LETTERARIA"|"2.4"
"BOTF01901C"|"ARCHITETTURA"|"2.4"
"BOTF01901C"|"AGRARIO"|"4.9"
"BOTF023014"|"INGEGNERIA"|"34.9"
"BOTF023014"|"ECONOMICO-STATISTICA"|"9.5"
"BOTF023014"|"SCIENTIFICA"|"31.7"
"BOTF023014"|"POLITICO-SOCIALE"|"4.8"
"BOTF023014"|"GEO-BIOLOGICA"|"3.2"
"BOTF023014"|"CHIMICO-FARMACEUTICA"|"3.2"
"BOTF023014"|"EDUCAZIONE FISICA"|"6.3"
"BOTF023014"|"LETTERARIA"|"1.6"
"BOTF023014"|"GIURIDICA"|"3.2"
"BOTF023014"|"INSEGNAMENTO"|"1.6"
"BOTF04000R"|"INGEGNERIA"|"37"
"BOTF04000R"|"ECONOMICO-STATISTICA"|"11.1"
"BOTF04000R"|"SCIENTIFICA"|"7.4"
"BOTF04000R"|"POLITICO-SOCIALE"|"3.7"
"BOTF04000R"|"GEO-BIOLOGICA"|"3.7"
"BOTF04000R"|"CHIMICO-FARMACEUTICA"|"3.7"
"BOTF04000R"|"EDUCAZIONE FISICA"|"7.4"
"BOTF04000R"|"LETTERARIA"|"3.7"
"BOTF04000R"|"GIURIDICA"|"3.7"
"BOTF04000R"|"MEDICA"|"18.5"
"BOTL01301N"|"INGEGNERIA"|"45.3"
"BOTL01301N"|"ECONOMICO-STATISTICA"|"9.4"
"BOTL01301N"|"SCIENTIFICA"|"1.9"
"BOTL01301N"|"POLITICO-SOCIALE"|"1.9"
"BOTL01301N"|"GEO-BIOLOGICA"|"1.9"
"BOTL01301N"|"EDUCAZIONE FISICA"|"3.8"
"BOTL01301N"|"LETTERARIA"|"1.9"
"BOTL01301N"|"GIURIDICA"|"7.5"
"BOTL01301N"|"MEDICA"|"3.8"
"BOTL01301N"|"ARCHITETTURA"|"17"
"BOTL01301N"|"AGRARIO"|"3.8"
"BOTL01301N"|"INSEGNAMENTO"|"1.9"
"BRPC002011"|"INGEGNERIA"|"5.1"
"BRPC002011"|"ECONOMICO-STATISTICA"|"10.2"
"BRPC002011"|"SCIENTIFICA"|"4.1"
"BRPC002011"|"POLITICO-SOCIALE"|"5.1"
"BRPC002011"|"GEO-BIOLOGICA"|"11.2"
"BRPC002011"|"CHIMICO-FARMACEUTICA"|"4.1"
"BRPC002011"|"LETTERARIA"|"10.2"
"BRPC002011"|"PSICOLOGICA"|"5.1"
"BRPC002011"|"GIURIDICA"|"27.6"
"BRPC002011"|"LINGUISTICA"|"3.1"
"BRPC002011"|"MEDICA"|"10.2"
"BRPC002011"|"ARCHITETTURA"|"1"
"BRPC002011"|"AGRARIO"|"3.1"
"BRPC00401L"|"INGEGNERIA"|"11.5"
"BRPC00401L"|"ECONOMICO-STATISTICA"|"14.8"
"BRPC00401L"|"SCIENTIFICA"|"3.3"
"BRPC00401L"|"POLITICO-SOCIALE"|"1.6"
"BRPC00401L"|"GEO-BIOLOGICA"|"1.6"
"BRPC00401L"|"CHIMICO-FARMACEUTICA"|"1.6"
"BRPC00401L"|"LETTERARIA"|"6.6"
"BRPC00401L"|"PSICOLOGICA"|"6.6"
"BRPC00401L"|"GIURIDICA"|"24.6"
"BRPC00401L"|"LINGUISTICA"|"9.8"
"BRPC00401L"|"MEDICA"|"9.8"
"BRPC00401L"|"ARCHITETTURA"|"1.6"
"BRPC00401L"|"AGRARIO"|"4.9"
"BRPC00401L"|"INSEGNAMENTO"|"1.6"
"BRPC006018"|"INGEGNERIA"|"7.2"
"BRPC006018"|"ECONOMICO-STATISTICA"|"23.2"
"BRPC006018"|"POLITICO-SOCIALE"|"7.2"
"BRPC006018"|"GEO-BIOLOGICA"|"13"
"BRPC006018"|"CHIMICO-FARMACEUTICA"|"7.2"
"BRPC006018"|"LETTERARIA"|"5.8"
"BRPC006018"|"PSICOLOGICA"|"1.4"
"BRPC006018"|"GIURIDICA"|"21.7"
"BRPC006018"|"LINGUISTICA"|"4.3"
"BRPC006018"|"MEDICA"|"2.9"
"BRPC006018"|"ARCHITETTURA"|"4.3"
"BRPC006018"|"AGRARIO"|"1.4"
"BRPC00801X"|"INGEGNERIA"|"3.3"
"BRPC00801X"|"ECONOMICO-STATISTICA"|"4.9"
"BRPC00801X"|"SCIENTIFICA"|"1.6"
"BRPC00801X"|"POLITICO-SOCIALE"|"6.6"
"BRPC00801X"|"GEO-BIOLOGICA"|"4.9"
"BRPC00801X"|"CHIMICO-FARMACEUTICA"|"1.6"
"BRPC00801X"|"LETTERARIA"|"14.8"
"BRPC00801X"|"PSICOLOGICA"|"6.6"
"BRPC00801X"|"GIURIDICA"|"39.3"
"BRPC00801X"|"LINGUISTICA"|"6.6"
"BRPC00801X"|"MEDICA"|"4.9"
"BRPC00801X"|"AGRARIO"|"1.6"
"BRPC00801X"|"INSEGNAMENTO"|"3.3"
"BRPM010003"|"ECONOMICO-STATISTICA"|"3.8"
"BRPM010003"|"POLITICO-SOCIALE"|"20"
"BRPM010003"|"GEO-BIOLOGICA"|"6.3"
"BRPM010003"|"CHIMICO-FARMACEUTICA"|"5"
"BRPM010003"|"LETTERARIA"|"10"
"BRPM010003"|"PSICOLOGICA"|"5"
"BRPM010003"|"GIURIDICA"|"8.8"
"BRPM010003"|"LINGUISTICA"|"25"
"BRPM010003"|"MEDICA"|"1.3"
"BRPM010003"|"AGRARIO"|"2.5"
"BRPM010003"|"INSEGNAMENTO"|"12.5"
"BRPM04000V"|"INGEGNERIA"|"8.2"
"BRPM04000V"|"ECONOMICO-STATISTICA"|"7.2"
"BRPM04000V"|"SCIENTIFICA"|"2.1"
"BRPM04000V"|"POLITICO-SOCIALE"|"10.3"
"BRPM04000V"|"GEO-BIOLOGICA"|"8.2"
"BRPM04000V"|"CHIMICO-FARMACEUTICA"|"4.1"
"BRPM04000V"|"EDUCAZIONE FISICA"|"4.1"
"BRPM04000V"|"LETTERARIA"|"7.2"
"BRPM04000V"|"PSICOLOGICA"|"7.2"
"BRPM04000V"|"GIURIDICA"|"13.4"
"BRPM04000V"|"LINGUISTICA"|"10.3"
"BRPM04000V"|"MEDICA"|"8.2"
"BRPM04000V"|"ARCHITETTURA"|"2.1"
"BRPM04000V"|"INSEGNAMENTO"|"7.2"
"BRPS002014"|"INGEGNERIA"|"22.9"
"BRPS002014"|"ECONOMICO-STATISTICA"|"8.6"
"BRPS002014"|"SCIENTIFICA"|"8.6"
"BRPS002014"|"POLITICO-SOCIALE"|"2.9"
"BRPS002014"|"GEO-BIOLOGICA"|"8.6"
"BRPS002014"|"CHIMICO-FARMACEUTICA"|"5.7"
"BRPS002014"|"EDUCAZIONE FISICA"|"2.9"
"BRPS002014"|"LETTERARIA"|"5.7"
"BRPS002014"|"PSICOLOGICA"|"2.9"
"BRPS002014"|"GIURIDICA"|"5.7"
"BRPS002014"|"LINGUISTICA"|"5.7"
"BRPS002014"|"MEDICA"|"14.3"
"BRPS002014"|"ARCHITETTURA"|"2.9"
"BRPS002014"|"INSEGNAMENTO"|"2.9"
"BRPS00301X"|"INGEGNERIA"|"8.8"
"BRPS00301X"|"ECONOMICO-STATISTICA"|"20.4"
"BRPS00301X"|"SCIENTIFICA"|"2.7"
"BRPS00301X"|"POLITICO-SOCIALE"|"6.2"
"BRPS00301X"|"GEO-BIOLOGICA"|"9.7"
"BRPS00301X"|"CHIMICO-FARMACEUTICA"|".9"
"BRPS00301X"|"EDUCAZIONE FISICA"|".9"
"BRPS00301X"|"LETTERARIA"|"5.3"
"BRPS00301X"|"PSICOLOGICA"|"1.8"
"BRPS00301X"|"GIURIDICA"|"19.5"
"BRPS00301X"|"LINGUISTICA"|"9.7"
"BRPS00301X"|"MEDICA"|"7.1"
"BRPS00301X"|"ARCHITETTURA"|"4.4"
"BRPS00301X"|"AGRARIO"|"1.8"
"BRPS00301X"|"INSEGNAMENTO"|".9"
"BRPS00401Q"|"INGEGNERIA"|"25"
"BRPS00401Q"|"ECONOMICO-STATISTICA"|"12.5"
"BRPS00401Q"|"SCIENTIFICA"|"2.1"
"BRPS00401Q"|"POLITICO-SOCIALE"|"4.2"
"BRPS00401Q"|"GEO-BIOLOGICA"|"7.3"
"BRPS00401Q"|"CHIMICO-FARMACEUTICA"|"7.3"
"BRPS00401Q"|"EDUCAZIONE FISICA"|"1"
"BRPS00401Q"|"LETTERARIA"|"8.3"
"BRPS00401Q"|"PSICOLOGICA"|"1"
"BRPS00401Q"|"GIURIDICA"|"10.4"
"BRPS00401Q"|"LINGUISTICA"|"3.1"
"BRPS00401Q"|"MEDICA"|"10.4"
"BRPS00401Q"|"ARCHITETTURA"|"3.1"
"BRPS00401Q"|"AGRARIO"|"3.1"
"BRPS00401Q"|"INSEGNAMENTO"|"1"
"BRPS008013"|"INGEGNERIA"|"18"
"BRPS008013"|"ECONOMICO-STATISTICA"|"18"
"BRPS008013"|"SCIENTIFICA"|"6"
"BRPS008013"|"POLITICO-SOCIALE"|"8"
"BRPS008013"|"GEO-BIOLOGICA"|"6"
"BRPS008013"|"CHIMICO-FARMACEUTICA"|"12"
"BRPS008013"|"EDUCAZIONE FISICA"|"2"
"BRPS008013"|"PSICOLOGICA"|"4"
"BRPS008013"|"GIURIDICA"|"16"
"BRPS008013"|"LINGUISTICA"|"2"
"BRPS008013"|"MEDICA"|"4"
"BRPS008013"|"AGRARIO"|"4"
"BRPS01101V"|"INGEGNERIA"|"24.3"
"BRPS01101V"|"ECONOMICO-STATISTICA"|"10.8"
"BRPS01101V"|"SCIENTIFICA"|"1.4"
"BRPS01101V"|"POLITICO-SOCIALE"|"12.2"
"BRPS01101V"|"GEO-BIOLOGICA"|"10.8"
"BRPS01101V"|"CHIMICO-FARMACEUTICA"|"5.4"
"BRPS01101V"|"EDUCAZIONE FISICA"|"1.4"
"BRPS01101V"|"LETTERARIA"|"2.7"
"BRPS01101V"|"PSICOLOGICA"|"1.4"
"BRPS01101V"|"GIURIDICA"|"20.3"
"BRPS01101V"|"LINGUISTICA"|"4.1"
"BRPS01101V"|"MEDICA"|"2.7"
"BRPS01101V"|"ARCHITETTURA"|"1.4"
"BRPS01101V"|"INSEGNAMENTO"|"1.4"
"BRPS01201P"|"INGEGNERIA"|"15.4"
"BRPS01201P"|"ECONOMICO-STATISTICA"|"17.3"
"BRPS01201P"|"SCIENTIFICA"|"3.8"
"BRPS01201P"|"POLITICO-SOCIALE"|"11.5"
"BRPS01201P"|"GEO-BIOLOGICA"|"11.5"
"BRPS01201P"|"CHIMICO-FARMACEUTICA"|"5.8"
"BRPS01201P"|"GIURIDICA"|"17.3"
"BRPS01201P"|"LINGUISTICA"|"3.8"
"BRPS01201P"|"MEDICA"|"7.7"
"BRPS01201P"|"ARCHITETTURA"|"1.9"
"BRPS01201P"|"INSEGNAMENTO"|"3.8"
"BRPS030007"|"INGEGNERIA"|"23"
"BRPS030007"|"ECONOMICO-STATISTICA"|"9.8"
"BRPS030007"|"SCIENTIFICA"|"6.6"
"BRPS030007"|"POLITICO-SOCIALE"|"6.6"
"BRPS030007"|"GEO-BIOLOGICA"|"6.6"
"BRPS030007"|"CHIMICO-FARMACEUTICA"|"12.3"
"BRPS030007"|"LETTERARIA"|"4.1"
"BRPS030007"|"PSICOLOGICA"|"1.6"
"BRPS030007"|"GIURIDICA"|"13.1"
"BRPS030007"|"LINGUISTICA"|"4.1"
"BRPS030007"|"MEDICA"|"5.7"
"BRPS030007"|"ARCHITETTURA"|"1.6"
"BRPS030007"|"AGRARIO"|"1.6"
"BRPS030007"|"INSEGNAMENTO"|"3.3"
"BRPS060003"|"INGEGNERIA"|"33.8"
"BRPS060003"|"ECONOMICO-STATISTICA"|"17.2"
"BRPS060003"|"SCIENTIFICA"|"1.3"
"BRPS060003"|"POLITICO-SOCIALE"|"8.9"
"BRPS060003"|"GEO-BIOLOGICA"|"7.6"
"BRPS060003"|"CHIMICO-FARMACEUTICA"|"3.2"
"BRPS060003"|"EDUCAZIONE FISICA"|"1.3"
"BRPS060003"|"LETTERARIA"|"2.5"
"BRPS060003"|"PSICOLOGICA"|"1.3"
"BRPS060003"|"GIURIDICA"|"8.9"
"BRPS060003"|"LINGUISTICA"|"4.5"
"BRPS060003"|"MEDICA"|"5.7"
"BRPS060003"|"ARCHITETTURA"|"1.9"
"BRPS060003"|"AGRARIO"|"1.9"
"BRRC01000E"|"ECONOMICO-STATISTICA"|"100"
"BRRC01001G"|"POLITICO-SOCIALE"|"50"
"BRRC01001G"|"GEO-BIOLOGICA"|"50"
"BRRF003016"|"GEO-BIOLOGICA"|"100"
"BRRF00601N"|"POLITICO-SOCIALE"|"60"
"BRRF00601N"|"INSEGNAMENTO"|"40"
"BRRF010008"|"POLITICO-SOCIALE"|"70"
"BRRF010008"|"GEO-BIOLOGICA"|"20"
"BRRF010008"|"LETTERARIA"|"10"
"BRRH006015"|"LINGUISTICA"|"37.5"
"BRRH006015"|"AGRARIO"|"50"
"BRRH006015"|"INSEGNAMENTO"|"12.5"
"BRRH00901L"|"ECONOMICO-STATISTICA"|"25"
"BRRH00901L"|"POLITICO-SOCIALE"|"25"
"BRRH00901L"|"LINGUISTICA"|"25"
"BRRH00901L"|"AGRARIO"|"25"
"BRRH01000Q"|"ECONOMICO-STATISTICA"|"20"
"BRRH01000Q"|"POLITICO-SOCIALE"|"40"
"BRRH01000Q"|"GEO-BIOLOGICA"|"20"
"BRRH01000Q"|"AGRARIO"|"20"
"BRRI00601L"|"INGEGNERIA"|"33.3"
"BRRI00601L"|"SCIENTIFICA"|"33.3"
"BRRI00601L"|"POLITICO-SOCIALE"|"33.3"
"BRSL01201G"|"SCIENTIFICA"|"7.7"
"BRSL01201G"|"POLITICO-SOCIALE"|"23.1"
"BRSL01201G"|"GEO-BIOLOGICA"|"7.7"
"BRSL01201G"|"LETTERARIA"|"7.7"
"BRSL01201G"|"PSICOLOGICA"|"7.7"
"BRSL01201G"|"LINGUISTICA"|"7.7"
"BRSL01201G"|"ARCHITETTURA"|"38.5"
"BRTA00701L"|"GEO-BIOLOGICA"|"25"
"BRTA00701L"|"EDUCAZIONE FISICA"|"25"
"BRTA00701L"|"MEDICA"|"25"
"BRTA00701L"|"AGRARIO"|"25"
"BRTA00702N"|"AGRARIO"|"100"
"BRTD006017"|"INGEGNERIA"|"16.7"
"BRTD006017"|"ECONOMICO-STATISTICA"|"66.7"
"BRTD006017"|"SCIENTIFICA"|"16.7"
"BRTD00901P"|"INGEGNERIA"|"11.1"
"BRTD00901P"|"ECONOMICO-STATISTICA"|"44.4"
"BRTD00901P"|"SCIENTIFICA"|"5.6"
"BRTD00901P"|"POLITICO-SOCIALE"|"5.6"
"BRTD00901P"|"GEO-BIOLOGICA"|"5.6"
"BRTD00901P"|"PSICOLOGICA"|"5.6"
"BRTD00901P"|"GIURIDICA"|"5.6"
"BRTD00901P"|"LINGUISTICA"|"11.1"
"BRTD00901P"|"INSEGNAMENTO"|"5.6"
"BRTD01000T"|"ECONOMICO-STATISTICA"|"42.4"
"BRTD01000T"|"SCIENTIFICA"|"9.1"
"BRTD01000T"|"POLITICO-SOCIALE"|"18.2"
"BRTD01000T"|"EDUCAZIONE FISICA"|"3"
"BRTD01000T"|"LETTERARIA"|"3"
"BRTD01000T"|"PSICOLOGICA"|"3"
"BRTD01000T"|"GIURIDICA"|"9.1"
"BRTD01000T"|"LINGUISTICA"|"6.1"
"BRTD01000T"|"INSEGNAMENTO"|"6.1"
"BRTD010042"|"ECONOMICO-STATISTICA"|"50"
"BRTD010042"|"LETTERARIA"|"50"
"BRTD01101P"|"INGEGNERIA"|"7.1"
"BRTD01101P"|"ECONOMICO-STATISTICA"|"50"
"BRTD01101P"|"SCIENTIFICA"|"7.1"
"BRTD01101P"|"POLITICO-SOCIALE"|"14.3"
"BRTD01101P"|"CHIMICO-FARMACEUTICA"|"7.1"
"BRTD01101P"|"LETTERARIA"|"14.3"
"BRTD01301A"|"INGEGNERIA"|"8.3"
"BRTD01301A"|"ECONOMICO-STATISTICA"|"33.3"
"BRTD01301A"|"POLITICO-SOCIALE"|"16.7"
"BRTD01301A"|"GEO-BIOLOGICA"|"16.7"
"BRTD01301A"|"GIURIDICA"|"8.3"
"BRTD01301A"|"LINGUISTICA"|"16.7"
"BRTD04000N"|"ECONOMICO-STATISTICA"|"30.4"
"BRTD04000N"|"SCIENTIFICA"|"4.3"
"BRTD04000N"|"POLITICO-SOCIALE"|"13"
"BRTD04000N"|"EDUCAZIONE FISICA"|"4.3"
"BRTD04000N"|"PSICOLOGICA"|"4.3"
"BRTD04000N"|"GIURIDICA"|"26.1"
"BRTD04000N"|"LINGUISTICA"|"17.4"
"BRTD07000D"|"INGEGNERIA"|"6.1"
"BRTD07000D"|"ECONOMICO-STATISTICA"|"42.9"
"BRTD07000D"|"SCIENTIFICA"|"4.1"
"BRTD07000D"|"POLITICO-SOCIALE"|"8.2"
"BRTD07000D"|"GEO-BIOLOGICA"|"2"
"BRTD07000D"|"GIURIDICA"|"14.3"
"BRTD07000D"|"LINGUISTICA"|"16.3"
"BRTD07000D"|"MEDICA"|"2"
"BRTD07000D"|"ARCHITETTURA"|"2"
"BRTD07000D"|"AGRARIO"|"2"
"BRTF007019"|"INGEGNERIA"|"66.7"
"BRTF007019"|"GIURIDICA"|"33.3"
"BRTF010004"|"INGEGNERIA"|"70.3"
"BRTF010004"|"ECONOMICO-STATISTICA"|"5.4"
"BRTF010004"|"SCIENTIFICA"|"10.8"
"BRTF010004"|"GEO-BIOLOGICA"|"5.4"
"BRTF010004"|"EDUCAZIONE FISICA"|"5.4"
"BRTF010004"|"MEDICA"|"2.7"
"BRTF02000P"|"INGEGNERIA"|"48.4"
"BRTF02000P"|"ECONOMICO-STATISTICA"|"19.4"
"BRTF02000P"|"SCIENTIFICA"|"12.9"
"BRTF02000P"|"POLITICO-SOCIALE"|"3.2"
"BRTF02000P"|"LETTERARIA"|"3.2"
"BRTF02000P"|"GIURIDICA"|"3.2"
"BRTF02000P"|"ARCHITETTURA"|"3.2"
"BRTF02000P"|"AGRARIO"|"3.2"
"BRTF02000P"|"INSEGNAMENTO"|"3.2"
"BRTF030009"|"INGEGNERIA"|"16.7"
"BRTF030009"|"ECONOMICO-STATISTICA"|"5"
"BRTF030009"|"SCIENTIFICA"|"10"
"BRTF030009"|"POLITICO-SOCIALE"|"3.3"
"BRTF030009"|"GEO-BIOLOGICA"|"15"
"BRTF030009"|"CHIMICO-FARMACEUTICA"|"18.3"
"BRTF030009"|"EDUCAZIONE FISICA"|"1.7"
"BRTF030009"|"GIURIDICA"|"5"
"BRTF030009"|"MEDICA"|"11.7"
"BRTF030009"|"ARCHITETTURA"|"1.7"
"BRTF030009"|"AGRARIO"|"10"
"BRTF030009"|"INSEGNAMENTO"|"1.7"
"BRTH01000G"|"INGEGNERIA"|"50"
"BRTH01000G"|"ECONOMICO-STATISTICA"|"8.3"
"BRTH01000G"|"SCIENTIFICA"|"16.7"
"BRTH01000G"|"POLITICO-SOCIALE"|"8.3"
"BRTH01000G"|"GEO-BIOLOGICA"|"8.3"
"BRTH01000G"|"GIURIDICA"|"8.3"
"BRTL01301R"|"INGEGNERIA"|"55.6"
"BRTL01301R"|"ECONOMICO-STATISTICA"|"11.1"
"BRTL01301R"|"CHIMICO-FARMACEUTICA"|"11.1"
"BRTL01301R"|"ARCHITETTURA"|"11.1"
"BRTL01301R"|"AGRARIO"|"11.1"
"BSPC01000A"|"INGEGNERIA"|"1.7"
"BSPC01000A"|"ECONOMICO-STATISTICA"|"9.2"
"BSPC01000A"|"POLITICO-SOCIALE"|"3.4"
"BSPC01000A"|"GEO-BIOLOGICA"|"5"
"BSPC01000A"|"CHIMICO-FARMACEUTICA"|"5.9"
"BSPC01000A"|"LETTERARIA"|"23.5"
"BSPC01000A"|"PSICOLOGICA"|"6.7"
"BSPC01000A"|"GIURIDICA"|"25.2"
"BSPC01000A"|"LINGUISTICA"|"6.7"
"BSPC01000A"|"MEDICA"|"6.7"
"BSPC01000A"|"ARCHITETTURA"|"3.4"
"BSPC01000A"|"AGRARIO"|"1.7"
"BSPC01000A"|"INSEGNAMENTO"|".8"
"BSPC020001"|"INGEGNERIA"|"15.4"
"BSPC020001"|"ECONOMICO-STATISTICA"|"16.8"
"BSPC020001"|"SCIENTIFICA"|"4"
"BSPC020001"|"POLITICO-SOCIALE"|"6"
"BSPC020001"|"GEO-BIOLOGICA"|"4"
"BSPC020001"|"CHIMICO-FARMACEUTICA"|"2"
"BSPC020001"|"EDUCAZIONE FISICA"|".7"
"BSPC020001"|"LETTERARIA"|"8.7"
"BSPC020001"|"PSICOLOGICA"|"5.4"
"BSPC020001"|"GIURIDICA"|".7"
"BSPC020001"|"LINGUISTICA"|"11.4"
"BSPC020001"|"MEDICA"|"13.4"
"BSPC020001"|"ARCHITETTURA"|"6.7"
"BSPC020001"|"AGRARIO"|"1.3"
"BSPC020001"|"INSEGNAMENTO"|"3.4"
"BSPM020005"|"INGEGNERIA"|"2.9"
"BSPM020005"|"ECONOMICO-STATISTICA"|"7.5"
"BSPM020005"|"SCIENTIFICA"|".6"
"BSPM020005"|"POLITICO-SOCIALE"|"9.2"
"BSPM020005"|"GEO-BIOLOGICA"|"1.2"
"BSPM020005"|"CHIMICO-FARMACEUTICA"|"1.2"
"BSPM020005"|"LETTERARIA"|"6.4"
"BSPM020005"|"PSICOLOGICA"|"9.8"
"BSPM020005"|"GIURIDICA"|"11.6"
"BSPM020005"|"LINGUISTICA"|"30.6"
"BSPM020005"|"MEDICA"|"9.2"
"BSPM020005"|"ARCHITETTURA"|".6"
"BSPM020005"|"AGRARIO"|".6"
"BSPM020005"|"INSEGNAMENTO"|"8.7"
"BSPM04000A"|"INGEGNERIA"|".7"
"BSPM04000A"|"ECONOMICO-STATISTICA"|"2.9"
"BSPM04000A"|"SCIENTIFICA"|"2.9"
"BSPM04000A"|"POLITICO-SOCIALE"|"12.9"
"BSPM04000A"|"GEO-BIOLOGICA"|"2.1"
"BSPM04000A"|"CHIMICO-FARMACEUTICA"|"1.4"
"BSPM04000A"|"EDUCAZIONE FISICA"|"1.4"
